"File","Date","Hour"
"meps_mbr0_full_backup_2_5km_20161111T00Z.nc","20161111","00"
"meps_mbr0_extracted_backup_2_5km_20161111T00Z.nc","20161111","00"
"wbkz_2_5km_mbr1_20161112T06Z.nc","20161112","06"
"wbkz_2_5km_20161112T06Z.nc","20161112","06"
"t2myr_kf_0_5km_mbr1_20161112T18Z.nc","20161112","18"
"t2myr_kf_0_5km_mbr1_20161112T12Z.nc","20161112","12"
"t2myr_kf_0_5km_mbr1_20161112T06Z.nc","20161112","06"
"t2myr_kf_0_5km_mbr1_20161112T00Z.nc","20161112","00"
"t2myr_kf_0_5km_mbr0_20161112T18Z.nc","20161112","18"
"t2myr_kf_0_5km_mbr0_20161112T12Z.nc","20161112","12"
"t2myr_kf_0_5km_mbr0_20161112T06Z.nc","20161112","06"
"t2myr_kf_0_5km_mbr0_20161112T00Z.nc","20161112","00"
"meps_subset_2_5km_20161112T18Z.nc","20161112","18"
"meps_subset_2_5km_20161112T12Z.nc","20161112","12"
"meps_subset_2_5km_20161112T06Z.nc","20161112","06"
"meps_subset_2_5km_20161112T00Z.nc","20161112","00"
"meps_mbr1_pp_2_5km_20161112T18Z.nc","20161112","18"
"meps_mbr1_pp_2_5km_20161112T12Z.nc","20161112","12"
"meps_mbr1_pp_2_5km_20161112T06Z.nc","20161112","06"
"meps_mbr1_pp_2_5km_20161112T00Z.nc","20161112","00"
"meps_mbr0_vc_2_5km_20161112T18Z.nc","20161112","18"
"meps_mbr0_vc_2_5km_20161112T12Z.nc","20161112","12"
"meps_mbr0_vc_2_5km_20161112T06Z.nc","20161112","06"
"meps_mbr0_vc_2_5km_20161112T00Z.nc","20161112","00"
"meps_mbr0_ppalgs_plevels_2_5km_20161112T18Z.nc","20161112","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161112T12Z.nc","20161112","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161112T06Z.nc","20161112","06"
"meps_mbr0_ppalgs_plevels_2_5km_20161112T00Z.nc","20161112","00"
"meps_mbr0_pp_2_5km_20161112T18Z.nc","20161112","18"
"meps_mbr0_pp_2_5km_20161112T12Z.nc","20161112","12"
"meps_mbr0_pp_2_5km_20161112T06Z.nc","20161112","06"
"meps_mbr0_pp_2_5km_20161112T00Z.nc","20161112","00"
"meps_mbr0_full_backup_2_5km_20161112T00Z.nc","20161112","00"
"meps_mbr0_extracted_backup_2_5km_20161112T00Z.nc","20161112","00"
"wbkz_2_5km_mbr1_20161113T06Z.nc","20161113","06"
"wbkz_2_5km_20161113T06Z.nc","20161113","06"
"t2myr_kf_0_5km_mbr1_20161113T18Z.nc","20161113","18"
"t2myr_kf_0_5km_mbr1_20161113T12Z.nc","20161113","12"
"t2myr_kf_0_5km_mbr1_20161113T06Z.nc","20161113","06"
"t2myr_kf_0_5km_mbr1_20161113T00Z.nc","20161113","00"
"t2myr_kf_0_5km_mbr0_20161113T18Z.nc","20161113","18"
"t2myr_kf_0_5km_mbr0_20161113T12Z.nc","20161113","12"
"t2myr_kf_0_5km_mbr0_20161113T06Z.nc","20161113","06"
"t2myr_kf_0_5km_mbr0_20161113T00Z.nc","20161113","00"
"meps_subset_2_5km_20161113T18Z.nc","20161113","18"
"meps_subset_2_5km_20161113T12Z.nc","20161113","12"
"meps_subset_2_5km_20161113T06Z.nc","20161113","06"
"meps_subset_2_5km_20161113T00Z.nc","20161113","00"
"meps_mbr1_pp_2_5km_20161113T18Z.nc","20161113","18"
"meps_mbr1_pp_2_5km_20161113T12Z.nc","20161113","12"
"meps_mbr1_pp_2_5km_20161113T06Z.nc","20161113","06"
"meps_mbr1_pp_2_5km_20161113T00Z.nc","20161113","00"
"meps_mbr0_vc_2_5km_20161113T18Z.nc","20161113","18"
"meps_mbr0_vc_2_5km_20161113T12Z.nc","20161113","12"
"meps_mbr0_vc_2_5km_20161113T06Z.nc","20161113","06"
"meps_mbr0_vc_2_5km_20161113T00Z.nc","20161113","00"
"meps_mbr0_ppalgs_plevels_2_5km_20161113T18Z.nc","20161113","18"
"meps_mbr0_ppalgs_plevels_2_5km_20161113T12Z.nc","20161113","12"
"meps_mbr0_ppalgs_plevels_2_5km_20161113T06Z.nc","20161113","06"
"meps_mbr0_ppalgs_plevels_2_5km_20161113T00Z.nc","20161113","00"
"meps_mbr0_pp_2_5km_20161113T18Z.nc","20161113","18"
"meps_mbr0_pp_2_5km_20161113T12Z.nc","20161113","12"
"meps_mbr0_pp_2_5km_20161113T06Z.nc","20161113","06"
"meps_mbr0_pp_2_5km_20161113T00Z.nc","20161113","00"
"meps_mbr0_full_backup_2_5km_20161113T00Z.nc","20161113","00"
"meps_mbr0_extracted_backup_2_5km_20161113T00Z.nc","20161113","00"
"wbkz_2_5km_mbr1_20161114T06Z.nc","20161114","06"
"wbkz_2_5km_20161114T06Z.nc","20161114","06"
"t2myr_kf_0_5km_mbr1_20161114T18Z.nc","20161114","18"
"t2myr_kf_0_5km_mbr1_20161114T12Z.nc","20161114","12"
"t2myr_kf_0_5km_mbr1_20161114T06Z.nc","20161114","06"
"t2myr_kf_0_5km_mbr1_20161114T00Z.nc","20161114","00"
"t2myr_kf_0_5km_mbr0_20161114T18Z.nc","20161114","18"
"t2myr_kf_0_5km_mbr0_20161114T12Z.nc","20161114","12"
"t2myr_kf_0_5km_mbr0_20161114T06Z.nc","20161114","06"
"t2myr_kf_0_5km_mbr0_20161114T00Z.nc","20161114","00"
"meps_subset_2_5km_20161114T18Z.nc","20161114","18"
"meps_subset_2_5km_20161114T12Z.nc","20161114","12"
